Category: All categories

Week,claude: (United States),ai: (United States),chatgpt: (United States),gemini: (United States),deepseek: (United States)
2020-10-25,1,3,0,3,0
2020-11-01,<1,2,0,2,0
2020-11-08,1,2,0,3,0
2020-11-15,1,3,0,3,0
2020-11-22,1,3,0,3,0
2020-11-29,1,3,0,3,0
2020-12-06,1,3,0,3,0
2020-12-13,1,3,0,3,0
2020-12-20,1,3,0,3,0
2020-12-27,1,3,0,3,0
2021-01-03,1,3,0,3,0
2021-01-10,1,3,0,3,0
2021-01-17,1,3,0,3,0
2021-01-24,1,3,0,3,0
2021-01-31,1,3,<1,3,0
2021-02-07,1,3,0,3,0
2021-02-14,1,3,0,3,0
2021-02-21,1,3,0,3,0
2021-02-28,1,3,0,3,0
2021-03-07,1,3,0,3,0
2021-03-14,1,3,0,3,0
2021-03-21,1,3,0,3,0
2021-03-28,1,3,0,3,0
2021-04-04,1,3,0,3,0
2021-04-11,1,3,0,3,0
2021-04-18,1,3,0,3,0
2021-04-25,1,3,0,3,0
2021-05-02,1,3,0,3,0
2021-05-09,1,3,0,4,0
2021-05-16,1,3,0,4,0
2021-05-23,1,3,0,4,0
2021-05-30,1,3,0,4,0
2021-06-06,1,4,0,4,0
2021-06-13,1,3,0,3,0
2021-06-20,1,3,0,3,0
2021-06-27,1,3,0,3,0
2021-07-04,1,3,0,3,0
2021-07-11,1,3,0,3,0
2021-07-18,1,3,0,3,0
2021-07-25,1,3,0,3,0
2021-08-01,1,3,0,3,0
2021-08-08,1,3,0,3,0
2021-08-15,1,3,0,3,0
2021-08-22,1,3,0,3,0
2021-08-29,1,3,0,2,0
2021-09-05,1,3,0,3,0
2021-09-12,1,3,0,2,0
2021-09-19,1,3,0,2,0
2021-09-26,1,3,0,2,0
2021-10-03,1,3,0,3,0
2021-10-10,1,3,0,3,0
2021-10-17,1,3,0,3,0
2021-10-24,33,3,0,3,0
2021-10-31,1,3,0,3,0
2021-11-07,1,3,0,3,0
2021-11-14,1,3,0,3,0
2021-11-21,1,3,0,3,0
2021-11-28,1,3,0,3,0
2021-12-05,1,4,0,3,0
2021-12-12,1,3,0,3,0
2021-12-19,1,3,0,3,0
2021-12-26,1,3,0,3,0
2022-01-02,1,4,0,3,0
2022-01-09,1,4,0,3,0
2022-01-16,1,4,0,3,0
2022-01-23,1,4,0,3,0
2022-01-30,1,4,0,3,0
2022-02-06,1,4,0,3,0
2022-02-13,1,4,0,3,0
2022-02-20,1,4,0,3,0
2022-02-27,1,4,0,3,0
2022-03-06,1,4,0,3,0
2022-03-13,1,4,0,3,0
2022-03-20,1,4,0,3,0
2022-03-27,1,4,0,3,0
2022-04-03,1,4,0,3,0
2022-04-10,1,4,0,3,0
2022-04-17,1,4,0,3,0
2022-04-24,1,4,0,3,0
2022-05-01,1,4,0,3,0
2022-05-08,1,4,0,3,0
2022-05-15,1,4,0,4,0
2022-05-22,1,4,0,4,0
2022-05-29,1,4,0,4,0
2022-06-05,1,5,0,3,0
2022-06-12,1,8,0,3,0
2022-06-19,1,5,0,3,0
2022-06-26,1,5,0,3,0
2022-07-03,1,5,0,2,0
2022-07-10,1,5,0,3,0
2022-07-17,1,5,0,2,0
2022-07-24,1,5,0,3,0
2022-07-31,1,5,0,2,0
2022-08-07,1,6,0,2,0
2022-08-14,1,6,0,3,0
2022-08-21,1,5,0,2,0
2022-08-28,1,6,0,2,0
2022-09-04,1,6,0,2,0
2022-09-11,1,6,0,2,0
2022-09-18,1,6,0,2,0
2022-09-25,1,6,0,2,0
2022-10-02,1,6,0,2,0
2022-10-09,1,6,0,2,0
2022-10-16,1,6,0,2,0
2022-10-23,1,6,0,2,0
2022-10-30,1,6,0,2,0
2022-11-06,1,6,0,2,0
2022-11-13,1,6,0,2,0
2022-11-20,1,7,0,2,0
2022-11-27,1,10,<1,2,0
2022-12-04,1,19,8,3,0
2022-12-11,1,13,11,2,0
2022-12-18,1,10,5,2,<1
2022-12-25,1,9,4,2,0
2023-01-01,1,9,6,2,0
2023-01-08,1,11,9,3,0
2023-01-15,1,11,10,2,0
2023-01-22,1,12,14,2,0
2023-01-29,1,15,16,2,0
2023-02-05,1,17,18,2,0
2023-02-12,1,15,17,2,0
2023-02-19,1,14,15,2,0
2023-02-26,1,15,16,2,0
2023-03-05,1,14,15,2,0
2023-03-12,1,15,16,2,0
2023-03-19,1,18,19,2,0
2023-03-26,1,20,20,2,0
2023-04-02,1,20,19,2,0
2023-04-09,1,21,20,2,0
2023-04-16,1,36,20,2,0
2023-04-23,1,30,20,2,0
2023-04-30,1,27,19,2,0
2023-05-07,1,28,17,2,0
2023-05-14,1,27,17,3,0
2023-05-21,1,27,15,3,0
2023-05-28,1,26,13,3,0
2023-06-04,1,24,13,3,0
2023-06-11,1,26,12,3,0
2023-06-18,1,24,11,3,0
2023-06-25,1,24,11,2,0
2023-07-02,1,23,10,2,0
2023-07-09,1,26,12,2,0
2023-07-16,1,27,11,2,0
2023-07-23,1,24,10,2,0
2023-07-30,1,22,10,2,0
2023-08-06,1,22,10,2,0
2023-08-13,1,23,10,2,0
2023-08-20,1,22,11,2,0
2023-08-27,1,22,14,2,0
2023-09-03,1,22,12,2,0
2023-09-10,1,24,15,2,0
2023-09-17,1,24,15,2,0
2023-09-24,1,25,16,2,0
2023-10-01,1,27,14,2,0
2023-10-08,1,28,15,2,0
2023-10-15,1,27,16,2,0
2023-10-22,1,27,16,2,0
2023-10-29,1,29,15,2,0
2023-11-05,1,29,17,2,0
2023-11-12,1,30,17,2,0
2023-11-19,1,27,12,2,<1
2023-11-26,1,28,17,2,<1
2023-12-03,1,31,17,4,<1
2023-12-10,1,30,18,3,0
2023-12-17,1,27,11,2,0
2023-12-24,1,22,8,2,0
2023-12-31,1,25,11,2,<1
2024-01-07,1,28,14,2,<1
2024-01-14,1,28,15,2,<1
2024-01-21,1,33,17,2,<1
2024-01-28,1,32,17,2,<1
2024-02-04,1,31,18,3,0
2024-02-11,1,33,19,4,<1
2024-02-18,1,35,19,6,<1
2024-02-25,1,34,19,5,<1
2024-03-03,2,32,18,4,<1
2024-03-10,1,32,17,4,<1
2024-03-17,1,32,18,5,<1
2024-03-24,1,32,17,4,<1
2024-03-31,1,31,17,3,<1
2024-04-07,1,32,19,4,<1
2024-04-14,1,35,20,4,<1
2024-04-21,1,35,20,3,<1
2024-04-28,1,31,20,3,0
2024-05-05,1,33,18,4,<1
2024-05-12,1,36,20,4,<1
2024-05-19,1,34,18,5,<1
2024-05-26,1,36,16,4,<1
